active,active_endpoint_count,active_endpoints,component_name,component_version,created,cvssv3,cvssv3_score,cvssv4,cvssv4_score,cwe,date,defect_review_requested_by,defect_review_requested_by_id,description,duplicate,duplicate_finding,duplicate_finding_id,dynamic_finding,effort_for_fixing,epss_percentile,epss_score,false_p,file_path,finding_group,fix_available,fix_version,has_endpoints,has_finding_group,has_jira_configured,has_jira_group_issue,has_jira_issue,hash_code,id,impact,is_mitigated,kev_date,known_exploited,last_reviewed,last_reviewed_by,last_reviewed_by_id,last_status_update,line,mitigated,mitigated_by,mitigated_by_id,mitigated_endpoint_count,mitigated_endpoints,mitigation,nb_occurences,numerical_severity,out_of_scope,param,payload,pgh_event_models,pk,planned_remediation_date,planned_remediation_version,publish_date,ransomware_used,references,reporter,reporter_id,review_requested_by,review_requested_by_id,risk_accepted,sast_sink_object,sast_source_file_path,sast_source_line,sast_source_object,scanner_confidence,service,severity,severity_justification,sla_age,sla_age_days,sla_days_remaining,sla_deadline,sla_expiration_date,sla_start_date,sonarqube_issue,sonarqube_issue_id,static_finding,steps_to_reproduce,test,test_id,thread_id,title,under_defect_review,under_review,unique_id_from_tool,updated,url,verified,violates_sla,vuln_id_from_tool,test,found_by,engagement_id,engagement,product_id,product,endpoints,vulnerability_ids,tags,status,notes
True,0,[],node,22.18.0,2026-03-21 08:52:52.097849+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,,,0,2026-03-21,,,"**Vulnerability Namespace:** nvd:cpe NEWLINE **Vulnerability Description:** A flaw in Node.jsтАЩs Permissions model allows attackers to bypass `--allow-fs-read` and `--allow-fs-write` restrictions using crafted relative symlink paths. By chaining directories and symlinks, a script granted access only to the current directory can escape the allowed path and read sensitive files. This breaks the expected isolation guarantees and enables arbitrary file read/write, leading to potential system compromise. NEWLINE This vulnerability affects users of the permission model on Node.js v20,  v22,  v24, and v25. NEWLINE **Matcher:** stock-matcher NEWLINE **Package URL:** pkg:generic/node@22.18.0",False,,,False,,0.01618,0.00012,False,/nodejs/bin/node,,True,25.3.0,True,False,,False,,1184280b03d9b8f4de5d21588a6c960514567de368cc739ea9cb9160b2708707,126,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:52.097971+00:00,,,,,0,[],Upgrade to version: NEWLINE - 20.20.0 NEWLINE - 22.22.0 NEWLINE - 24.13.0 NEWLINE - 25.3.0,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2025-55130 NEWLINE **Vulnerability URL:** https://nodejs.org/en/blog/vulnerability/december-2025-security-releases,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,CVE-2025-55130 in node:22.18.0,False,False,,2026-03-21 08:52:52.097866+00:00,,False,,CVE-2025-55130,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,CVE-2025-55130,,Active,
True,0,[],vm2,3.9.17,2026-03-21 08:52:50.561085+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,,,0,2026-03-21,,,**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** vm2 Sandbox Escape vulnerability NEWLINE **Related Vulnerability Description:** vm2 is a sandbox that can run untrusted code with Node's built-in modules. A sandbox escape vulnerability exists in vm2 for versions up to and including 3.9.17. It abuses an unexpected creation of a host object based on the specification of `Proxy`. As a result a threat actor can bypass the sandbox protections to gain remote code execution rights on the host running the sandbox. This vulnerability was patched in the release of version `3.9.18` of `vm2`. Users are advised to upgrade. There are no known workarounds for this vulnerability. NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/vm2@3.9.17,False,,,False,,0.98634,0.69875,False,/juice-shop/node_modules/vm2/package.json,,True,3.9.18,True,False,,False,,f44df2da924687df4a5dcf933a4e7df5c0b1aad02b92274b61cb5cbb8bab3fa1,52,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.561143+00:00,,,,,0,[],Upgrade to version: 3.9.18,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-whpj-8f3w-67p5 NEWLINE **Vulnerability URLs:** NEWLINE - https://github.com/patriksimek/vm2/security/advisories/GHSA-whpj-8f3w-67p5 NEWLINE - https://github.com/patriksimek/vm2/commit/d88105f99752305c5b8a77b63ddee3ec86912daf NEWLINE - https://github.com/patriksimek/vm2/releases/tag/3.9.18 NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2023-32314 NEWLINE - https://gist.github.com/arkark/e9f5cf5782dec8321095be3e52acf5ac NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2023-32314 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://gist.github.com/arkark/e9f5cf5782dec8321095be3e52acf5ac NEWLINE - https://github.com/patriksimek/vm2/commit/d88105f99752305c5b8a77b63ddee3ec86912daf NEWLINE - https://github.com/patriksimek/vm2/releases/tag/3.9.18 NEWLINE - https://github.com/patriksimek/vm2/security/advisories/GHSA-whpj-8f3w-67p5,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-whpj-8f3w-67p5 in vm2:3.9.17,False,False,,2026-03-21 08:52:50.561094+00:00,,False,,GHSA-whpj-8f3w-67p5,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-whpj-8f3w-67p5; CVE-2023-32314,,Active,
True,0,[],crypto-js,3.3.0,2026-03-21 08:52:50.732952+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,,,0,2026-03-21,,,"**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** crypto-js PBKDF2 1,000 times weaker than specified in 1993 and 1.3M times weaker than current standard NEWLINE **Related Vulnerability Description:** crypto-js is a JavaScript library of crypto standards. Prior to version 4.2.0, crypto-js PBKDF2 is 1,000 times weaker than originally specified in 1993, and at least 1,300,000 times weaker than current industry standard. This is because it both defaults to SHA1, a cryptographic hash algorithm considered insecure since at least 2005, and defaults to one single iteration, a 'strength' or 'difficulty' value specified at 1,000 when specified in 1993. PBKDF2 relies on iteration count as a countermeasure to preimage and collision attacks. If used to protect passwords, the impact is high. If used to generate signatures, the impact is high. Version 4.2.0 contains a patch for this issue. As a workaround, configure crypto-js to use SHA256 with at least 250,000 iterations. NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/crypto-js@3.3.0",False,,,False,,0.74108,0.00823,False,/juice-shop/node_modules/crypto-js/package.json,,True,4.2.0,True,False,,False,,cc8a900b6a7aa0953913a16e1e3f4b8b0ee095353015c8addffe296e48d984f4,62,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.733011+00:00,,,,,0,[],Upgrade to version: 4.2.0,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-xwcq-pm8m-c4vf NEWLINE **Vulnerability URLs:** NEWLINE - https://github.com/brix/crypto-js/security/advisories/GHSA-xwcq-pm8m-c4vf NEWLINE - https://github.com/brix/crypto-js/commit/421dd538b2d34e7c24a5b72cc64dc2b9167db40a NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2023-46233 NEWLINE - https://lists.debian.org/debian-lts-announce/2023/11/msg00025.html NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2023-46233 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://github.com/brix/crypto-js/commit/421dd538b2d34e7c24a5b72cc64dc2b9167db40a NEWLINE - https://github.com/brix/crypto-js/security/advisories/GHSA-xwcq-pm8m-c4vf NEWLINE - https://lists.debian.org/debian-lts-announce/2023/11/msg00025.html,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-xwcq-pm8m-c4vf in crypto-js:3.3.0,False,False,,2026-03-21 08:52:50.732961+00:00,,False,,GHSA-xwcq-pm8m-c4vf,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-xwcq-pm8m-c4vf; CVE-2023-46233,,Active,
True,0,[],vm2,3.9.17,2026-03-21 08:52:50.580549+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,,,0,2026-03-21,,,"**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** vm2 Sandbox Escape vulnerability NEWLINE **Related Vulnerability Description:** vm2 is an open source vm/sandbox for Node.js. In vm2 for versions up to and including 3.9.19, Node.js custom inspect function allows attackers to escape the sandbox and run arbitrary code. This may result in Remote Code Execution, assuming the attacker has arbitrary code execution primitive inside the context of vm2 sandbox. There are no patches and no known workarounds. Users are advised to find an alternative software. NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/vm2@3.9.17",False,,,False,,0.97193,0.39234,False,/juice-shop/node_modules/vm2/package.json,,False,,True,False,,False,,c2a7f41be9b517290410d2bb29352182dbd157a58de3c9d90003bb5eaecf96f9,53,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.580646+00:00,,,,,0,[],,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-g644-9gfx-q4q4 NEWLINE **Vulnerability URLs:** NEWLINE - https://github.com/patriksimek/vm2/security/advisories/GHSA-g644-9gfx-q4q4 NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2023-37903 NEWLINE - https://security.netapp.com/advisory/ntap-20230831-0007 NEWLINE - https://security.netapp.com/advisory/ntap-20241108-0002 NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2023-37903 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://github.com/patriksimek/vm2/security/advisories/GHSA-g644-9gfx-q4q4 NEWLINE - https://security.netapp.com/advisory/ntap-20230831-0007/ NEWLINE - https://security.netapp.com/advisory/ntap-20241108-0002/,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-g644-9gfx-q4q4 in vm2:3.9.17,False,False,,2026-03-21 08:52:50.580567+00:00,,False,,GHSA-g644-9gfx-q4q4,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-g644-9gfx-q4q4; CVE-2023-37903,,Active,
True,0,[],libssl3,3.0.17-1~deb12u2,2026-03-21 08:52:50.767075+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,,,0,2026-03-21,,,"**Vulnerability Namespace:** debian:distro:debian:12 NEWLINE **Vulnerability Description:** Issue summary: Parsing CMS AuthEnvelopedData message with maliciously crafted AEAD parameters can trigger a stack buffer overflow.  Impact summary: A stack buffer overflow may lead to a crash, causing Denial of Service, or potentially remote code execution.  When parsing CMS AuthEnvelopedData structures that use AEAD ciphers such as AES-GCM, the IV (Initialization Vector) encoded in the ASN.1 parameters is copied into a fixed-size stack buffer without verifying that its length fits the destination. An attacker can supply a crafted CMS message with an oversized IV, causing a stack-based out-of-bounds write before any authentication or tag verification occurs.  Applications and services that parse untrusted CMS or PKCS#7 content using AEAD ciphers (e.g., S/MIME AuthEnvelopedData with AES-GCM) are vulnerable. Because the overflow occurs prior to authentication, no valid key material is required to trigger it. While exploitability to remote code execution depends on platform and toolchain mitigations, the stack-based write primitive represents a severe risk.  The FIPS modules in 3.6, 3.5, 3.4, 3.3 and 3.0 are not affected by this issue, as the CMS implementation is outside the OpenSSL FIPS module boundary.  OpenSSL 3.6, 3.5, 3.4, 3.3 and 3.0 are vulnerable to this issue.  OpenSSL 1.1.1 and 1.0.2 are not affected by this issue. NEWLINE **Related Vulnerability Description:** Issue summary: Parsing CMS AuthEnvelopedData or EnvelopedData message with NEWLINE maliciously crafted AEAD parameters can trigger a stack buffer overflow. NEWLINE  NEWLINE Impact summary: A stack buffer overflow may lead to a crash, causing Denial NEWLINE of Service, or potentially remote code execution. NEWLINE  NEWLINE When parsing CMS (Auth)EnvelopedData structures that use AEAD ciphers such as NEWLINE AES-GCM, the IV (Initialization Vector) encoded in the ASN.1 parameters is NEWLINE copied into a fixed-size stack buffer without verifying that its length fits NEWLINE the destination. An attacker can supply a crafted CMS message with an NEWLINE oversized IV, causing a stack-based out-of-bounds write before any NEWLINE authentication or tag verification occurs. NEWLINE  NEWLINE Applications and services that parse untrusted CMS or PKCS#7 content using NEWLINE AEAD ciphers (e.g., S/MIME (Auth)EnvelopedData with AES-GCM) are vulnerable. NEWLINE Because the overflow occurs prior to authentication, no valid key material NEWLINE is required to trigger it. While exploitability to remote code execution NEWLINE depends on platform and toolchain mitigations, the stack-based write NEWLINE primitive represents a severe risk. NEWLINE  NEWLINE The FIPS modules in 3.6, 3.5, 3.4, 3.3 and 3.0 are not affected by this NEWLINE issue, as the CMS implementation is outside the OpenSSL FIPS module NEWLINE boundary. NEWLINE  NEWLINE OpenSSL 3.6, 3.5, 3.4, 3.3 and 3.0 are vulnerable to this issue. NEWLINE  NEWLINE OpenSSL 1.1.1 and 1.0.2 are not affected by this issue. NEWLINE **Matcher:** dpkg-matcher NEWLINE **Package URL:** pkg:deb/debian/libssl3@3.0.17-1~deb12u2?arch=amd64&distro=debian-12&upstream=openssl",False,,,False,,0.7101,0.00672,False,/var/lib/dpkg/status.d/libssl3,,True,3.0.18-1~deb12u2,True,False,,False,,9acd88a86c062cb2efbc6f863ec08abd341d446de9e6b4b1f15e58e1ec575493,64,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.767152+00:00,,,,,0,[],Upgrade to version: 3.0.18-1~deb12u2,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://security-tracker.debian.org/tracker/CVE-2025-15467 NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2025-15467 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://github.com/openssl/openssl/commit/2c8f0e5fa9b6ee5508a0349e4572ddb74db5a703 NEWLINE - https://github.com/openssl/openssl/commit/5f26d4202f5b89664c5c3f3c62086276026ba9a9 NEWLINE - https://github.com/openssl/openssl/commit/6ced0fe6b10faa560e410e3ee8d6c82f06c65ea3 NEWLINE - https://github.com/openssl/openssl/commit/ce39170276daec87f55c39dad1f629b56344429e NEWLINE - https://github.com/openssl/openssl/commit/d0071a0799f20cc8101730145349ed4487c268dc NEWLINE - https://openssl-library.org/news/secadv/20260127.txt NEWLINE - http://www.openwall.com/lists/oss-security/2026/01/27/10 NEWLINE - http://www.openwall.com/lists/oss-security/2026/02/25/6,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,CVE-2025-15467 in libssl3:3.0.17-1~deb12u2,False,False,,2026-03-21 08:52:50.767089+00:00,,False,,CVE-2025-15467,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,CVE-2025-15467,,Active,
True,0,[],jsonwebtoken,0.1.0,2026-03-21 08:52:50.597123+00:00,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,,,0,2026-03-21,,,**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** Verification Bypass in jsonwebtoken NEWLINE **Related Vulnerability Description:** In jsonwebtoken node module before 4.2.2 it is possible for an attacker to bypass verification when a token digitally signed with an asymmetric key (RS/ES family) of algorithms but instead the attacker send a token digitally signed with a symmetric algorithm (HS* family). NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/jsonwebtoken@0.1.0,False,,,False,,0.96753,0.3247,False,/juice-shop/node_modules/express-jwt/node_modules/jsonwebtoken/package.json,,True,4.2.2,True,False,,False,,f94a8c9e391d3ea7af36b9c6e4229d9e367b033b77ca154d8087c9e3fbfbf179,54,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.597181+00:00,,,,,0,[],Upgrade to version: 4.2.2,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-c7hr-j4mj-j2w6 NEWLINE **Vulnerability URLs:** NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2015-9235 NEWLINE - https://github.com/auth0/node-jsonwebtoken/commit/1bb584bc382295eeb7ee8c4452a673a77a68b687 NEWLINE - https://auth0.com/blog/2015/03/31/critical-vulnerabilities-in-json-web-token-libraries/ NEWLINE - https://www.npmjs.com/advisories/17 NEWLINE - https://www.timmclean.net/2015/02/25/jwt-alg-none.html NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2015-9235 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://auth0.com/blog/2015/03/31/critical-vulnerabilities-in-json-web-token-libraries/ NEWLINE - https://github.com/auth0/node-jsonwebtoken/commit/1bb584bc382295eeb7ee8c4452a673a77a68b687 NEWLINE - https://nodesecurity.io/advisories/17 NEWLINE - https://www.timmclean.net/2015/02/25/jwt-alg-none.html,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.1.0,False,False,,2026-03-21 08:52:50.597133+00:00,,False,,GHSA-c7hr-j4mj-j2w6,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-c7hr-j4mj-j2w6; CVE-2015-9235,,Active,
True,0,[],jsonwebtoken,0.4.0,2026-03-21 08:52:50.612954+00:00,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,,,0,2026-03-21,,,**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** Verification Bypass in jsonwebtoken NEWLINE **Related Vulnerability Description:** In jsonwebtoken node module before 4.2.2 it is possible for an attacker to bypass verification when a token digitally signed with an asymmetric key (RS/ES family) of algorithms but instead the attacker send a token digitally signed with a symmetric algorithm (HS* family). NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/jsonwebtoken@0.4.0,False,,,False,,0.96753,0.3247,False,/juice-shop/node_modules/jsonwebtoken/package.json,,True,4.2.2,True,False,,False,,446bfdd26d4b103b1c77eac0d511bf530c5932fe3a97dd64ec2fe2b30109f371,55,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.613016+00:00,,,,,0,[],Upgrade to version: 4.2.2,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-c7hr-j4mj-j2w6 NEWLINE **Vulnerability URLs:** NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2015-9235 NEWLINE - https://github.com/auth0/node-jsonwebtoken/commit/1bb584bc382295eeb7ee8c4452a673a77a68b687 NEWLINE - https://auth0.com/blog/2015/03/31/critical-vulnerabilities-in-json-web-token-libraries/ NEWLINE - https://www.npmjs.com/advisories/17 NEWLINE - https://www.timmclean.net/2015/02/25/jwt-alg-none.html NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2015-9235 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://auth0.com/blog/2015/03/31/critical-vulnerabilities-in-json-web-token-libraries/ NEWLINE - https://github.com/auth0/node-jsonwebtoken/commit/1bb584bc382295eeb7ee8c4452a673a77a68b687 NEWLINE - https://nodesecurity.io/advisories/17 NEWLINE - https://www.timmclean.net/2015/02/25/jwt-alg-none.html,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.4.0,False,False,,2026-03-21 08:52:50.612965+00:00,,False,,GHSA-c7hr-j4mj-j2w6,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-c7hr-j4mj-j2w6; CVE-2015-9235,,Active,
True,0,[],vm2,3.9.17,2026-03-21 08:52:50.630108+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,,,0,2026-03-21,,,"**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** vm2 Sandbox Escape vulnerability NEWLINE **Related Vulnerability Description:** vm2 is an advanced vm/sandbox for Node.js. The library contains critical security issues and should not be used for production. The maintenance of the project has been discontinued. In vm2 for versions up to 3.9.19, `Promise` handler sanitization can be bypassed with the `@@species` accessor property allowing attackers to escape the sandbox and run arbitrary code, potentially allowing remote code execution inside the context of vm2 sandbox. Version 3.10.0 contains a patch for the issue. NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/vm2@3.9.17",False,,,False,,0.89498,0.04997,False,/juice-shop/node_modules/vm2/package.json,,True,3.10.0,True,False,,False,,6b89c2767f3e1463b4e4fdc1cfa645a357987377771ad170bf58f06ddfd91fbc,56,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.630172+00:00,,,,,0,[],Upgrade to version: 3.10.0,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-cchq-frgv-rjh5 NEWLINE **Vulnerability URLs:** NEWLINE - https://github.com/patriksimek/vm2/security/advisories/GHSA-cchq-frgv-rjh5 NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2023-37466 NEWLINE - https://gist.github.com/leesh3288/f693061e6523c97274ad5298eb2c74e9 NEWLINE - https://security.netapp.com/advisory/ntap-20230831-0007 NEWLINE - https://security.netapp.com/advisory/ntap-20241108-0002 NEWLINE - https://github.com/patriksimek/vm2/commit/d9a1fde8ec5a5a9c9e5a69bf91d703950859d744 NEWLINE - https://github.com/patriksimek/vm2/releases/tag/v3.10.0 NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2023-37466 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://github.com/patriksimek/vm2/commit/d9a1fde8ec5a5a9c9e5a69bf91d703950859d744 NEWLINE - https://github.com/patriksimek/vm2/releases/tag/v3.10.0 NEWLINE - https://github.com/patriksimek/vm2/security/advisories/GHSA-cchq-frgv-rjh5 NEWLINE - https://security.netapp.com/advisory/ntap-20241108-0002/,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-cchq-frgv-rjh5 in vm2:3.9.17,False,False,,2026-03-21 08:52:50.630119+00:00,,False,,GHSA-cchq-frgv-rjh5,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-cchq-frgv-rjh5; CVE-2023-37466,,Active,
True,0,[],marsdb,0.6.11,2026-03-21 08:52:52.717400+00:00,,,,,0,2026-03-21,,,**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** Command Injection in marsdb NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/marsdb@0.6.11,False,,,False,,,,False,/juice-shop/node_modules/marsdb/package.json,,False,,True,False,,False,,8796fc2d3932e13a71e854cdeb047fcdb4052b454be7db1661f84ead38fe0097,157,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:52.717496+00:00,,,,,0,[],,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-5mrr-rgp6-x4gr NEWLINE **Vulnerability URLs:** NEWLINE - https://github.com/bkimminich/juice-shop/issues/1173 NEWLINE - https://www.npmjs.com/advisories/1122,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-5mrr-rgp6-x4gr in marsdb:0.6.11,False,False,,2026-03-21 08:52:52.717417+00:00,,False,,GHSA-5mrr-rgp6-x4gr,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-5mrr-rgp6-x4gr,,Active,
True,0,[],lodash,2.4.2,2026-03-21 08:52:50.666997+00:00,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,9.1,,,0,2026-03-21,,,**Vulnerability Namespace:** github:language:javascript NEWLINE **Vulnerability Description:** Prototype Pollution in lodash NEWLINE **Related Vulnerability Description:** Versions of lodash lower than 4.17.12 are vulnerable to Prototype Pollution. The function defaultsDeep could be tricked into adding or modifying properties of Object.prototype using a constructor payload. NEWLINE **Matcher:** javascript-matcher NEWLINE **Package URL:** pkg:npm/lodash@2.4.2,False,,,False,,0.84908,0.02441,False,/juice-shop/node_modules/sanitize-html/node_modules/lodash/package.json,,True,4.17.12,True,False,,False,,3b1d8d89bee38ea43fa9b863ba5448343af024aca9dbd41387eff36cf1658e3b,58,,False,,False,2026-03-21 08:52:50.407095+00:00,Admin User (admin),1,2026-03-21 08:52:50.667076+00:00,,,,,0,[],Upgrade to version: 4.17.12,1,S0,False,,,,,,,,False,**Vulnerability Datasource:** https://github.com/advisories/GHSA-jf85-cpcp-j695 NEWLINE **Vulnerability URLs:** NEWLINE - https://github.com/lodash/lodash/pull/4336 NEWLINE - https://nvd.nist.gov/vuln/detail/CVE-2019-10744 NEWLINE - https://snyk.io/vuln/SNYK-JS-LODASH-450202 NEWLINE - https://access.redhat.com/errata/RHSA-2019:3024 NEWLINE - https://support.f5.com/csp/article/K47105354?utm_source=f5support&amp;utm_medium=RSS NEWLINE - https://www.oracle.com/security-alerts/cpujan2021.html NEWLINE - https://www.oracle.com/security-alerts/cpuoct2020.html NEWLINE - https://support.f5.com/csp/article/K47105354?utm_source=f5support&amp%3Butm_medium=RSS NEWLINE - https://security.netapp.com/advisory/ntap-20191004-0005 NEWLINE - https://github.com/rubysec/ruby-advisory-db/blob/master/gems/lodash-rails/CVE-2019-10744.yml NEWLINE **Related Vulnerability Datasource:** https://nvd.nist.gov/vuln/detail/CVE-2019-10744 NEWLINE **Related Vulnerability URLs:** NEWLINE - https://access.redhat.com/errata/RHSA-2019:3024 NEWLINE - https://security.netapp.com/advisory/ntap-20191004-0005/ NEWLINE - https://snyk.io/vuln/SNYK-JS-LODASH-450202 NEWLINE - https://support.f5.com/csp/article/K47105354?utm_source=f5support&amp%3Butm_medium=RSS NEWLINE - https://www.oracle.com/security-alerts/cpujan2021.html NEWLINE - https://www.oracle.com/security-alerts/cpuoct2020.html,Admin User (admin),1,,,False,,,,,,,Critical,,,7,7,2026-03-28,2026-03-28,,,,True,,Anchore Grype,5,0,GHSA-jf85-cpcp-j695 in lodash:2.4.2,False,False,,2026-03-21 08:52:50.667007+00:00,,False,,GHSA-jf85-cpcp-j695,,Anchore Grype,1,Labs Security Testing,1,Juice Shop,,GHSA-jf85-cpcp-j695; CVE-2019-10744,,Active,
